type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,74458656791261,IpsumLorem,Pride1_Sense1
QUEUE,Tokenize2,Sense1,74458656795148,IpsumLorem,Pride1_Sense1
QUEUE,Collect1,Pride1,74458656779749,IpsumLorem,Pride1_Sense1
QUEUE,Collect2,Sense1,74458656947657,IpsumLorem,Pride1_Sense1
START,Tokenize1,Pride1,74458676743223,IpsumLorem,Pride1_Sense1
START,Tokenize2,Sense1,74458676760667,IpsumLorem,Pride1_Sense1
STOP,Tokenize2,Sense1,74458745026751,IpsumLorem,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1_Sense1,74458745790691,IpsumLorem,Pride1_Sense1
STOP,Tokenize1,Pride1,74458745836618,IpsumLorem,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1,74458745881894,IpsumLorem,Pride1_Sense1
START,Collect1,Pride1,74458777103948,IpsumLorem,Pride1_Sense1
START,Collect2,Sense1,74458777106994,IpsumLorem,Pride1_Sense1
STOP,Collect2,Sense1,74458783706464,IpsumLorem,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,74458783821893,IpsumLorem,Pride1_Sense1
STOP,Collect1,Pride1,74458784060296,IpsumLorem,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,74458784120851,IpsumLorem,Pride1_Sense1
START,ComputeScalar3,Sense1,74458883916653,IpsumLorem,Pride1_Sense1
START,ComputeScalar1,Pride1_Sense1,74458945975812,IpsumLorem,Pride1_Sense1
START,ComputeScalar2,Pride1,74458946099587,IpsumLorem,Pride1_Sense1
STOP,ComputeScalar3,Sense1,74465597975649,IpsumLorem,Pride1_Sense1
STOP,ComputeScalar2,Pride1,74466423859609,IpsumLorem,Pride1_Sense1
STOP,ComputeScalar1,Pride1_Sense1,74467535807180,IpsumLorem,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,74467590452042,IpsumLorem,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,74467590791025,IpsumLorem,Pride1_Sense1
QUEUE,Tokenize1,Pride1,74467593228900,IpsumLorem,Pride1_Sense2
START,Tokenize1,Pride1,74467593304794,IpsumLorem,Pride1_Sense2
QUEUE,Tokenize2,Sense2,74467593334771,IpsumLorem,Pride1_Sense2
QUEUE,Collect1,Pride1,74467593393332,IpsumLorem,Pride1_Sense2
START,Tokenize2,Sense2,74467593434580,IpsumLorem,Pride1_Sense2
QUEUE,Collect2,Sense2,74467593662823,IpsumLorem,Pride1_Sense2
STOP,Tokenize1,Pride1,74467637287949,IpsumLorem,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1_Sense2,74467637413337,IpsumLorem,Pride1_Sense2
STOP,Tokenize2,Sense2,74467641931248,IpsumLorem,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1,74467642050204,IpsumLorem,Pride1_Sense2
START,Collect1,Pride1,74467693533128,IpsumLorem,Pride1_Sense2
START,Collect2,Sense2,74467693756652,IpsumLorem,Pride1_Sense2
STOP,Collect1,Pride1,74467695678498,IpsumLorem,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,74467695773197,IpsumLorem,Pride1_Sense2
STOP,Collect2,Sense2,74467695942809,IpsumLorem,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,74467696053349,IpsumLorem,Pride1_Sense2
START,ComputeScalar3,Sense2,74467795888948,IpsumLorem,Pride1_Sense2
START,ComputeScalar1,Pride1_Sense2,74467837586927,IpsumLorem,Pride1_Sense2
START,ComputeScalar2,Pride1,74467842206802,IpsumLorem,Pride1_Sense2
STOP,ComputeScalar2,Pride1,74474201693372,IpsumLorem,Pride1_Sense2
STOP,ComputeScalar1,Pride1_Sense2,74478448170997,IpsumLorem,Pride1_Sense2
STOP,ComputeScalar3,Sense2,74479951587128,IpsumLorem,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,74480004749991,IpsumLorem,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,74480004898141,IpsumLorem,Pride1_Sense2
QUEUE,Tokenize1,Pride1,74480006149934,IpsumLorem,Pride1_Sense3
START,Tokenize1,Pride1,74480006225848,IpsumLorem,Pride1_Sense3
QUEUE,Tokenize2,Sense3,74480006223093,IpsumLorem,Pride1_Sense3
QUEUE,Collect1,Pride1,74480006277967,IpsumLorem,Pride1_Sense3
START,Tokenize2,Sense3,74480006312723,IpsumLorem,Pride1_Sense3
QUEUE,Collect2,Sense3,74480006667556,IpsumLorem,Pride1_Sense3
STOP,Tokenize1,Pride1,74480063483614,IpsumLorem,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1_Sense3,74480063598291,IpsumLorem,Pride1_Sense3
