type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,102931152816600,LABPC18,Pride1_Sense1
QUEUE,Tokenize2,Sense1,102931153962600,LABPC18,Pride1_Sense1
START,Tokenize1,Pride1,102931153986000,LABPC18,Pride1_Sense1
START,Tokenize2,Sense1,102931154397000,LABPC18,Pride1_Sense1
START,Collect2,Sense1,102931155735100,LABPC18,Pride1_Sense1
START,Collect1,Pride1,102931156242800,LABPC18,Pride1_Sense1
QUEUE,Collect2,Sense1,102931178855500,LABPC18,Pride1_Sense1
STOP,Tokenize2,Sense1,102931179484400,LABPC18,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,102931179505800,LABPC18,Pride1_Sense1
QUEUE,Collect1,Pride1,102931179604000,LABPC18,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,102931180030300,LABPC18,Pride1_Sense1
STOP,Tokenize1,Pride1,102931180108100,LABPC18,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,102931180366900,LABPC18,Pride1_Sense1
START,ComputeScalar2,Sense1,102931180044400,LABPC18,Pride1_Sense1
STOP,Collect2,Sense1,102931181415300,LABPC18,Pride1_Sense1
STOP,Collect1,Pride1,102931181780200,LABPC18,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,102931182042200,LABPC18,Pride1_Sense1
START,ComputeScalar1,Pride1,102931181780200,LABPC18,Pride1_Sense1
STOP,ComputeScalar2,Sense1,102931183506500,LABPC18,Pride1_Sense1
STOP,ComputeScalar1,Pride1,102931184345700,LABPC18,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,102931185609700,LABPC18,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,102931186026800,LABPC18,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,102931186055100,LABPC18,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,102931186605100,LABPC18,Pride1_Sense1
QUEUE,Tokenize1,Pride1,102931198321900,LABPC18,Pride1_Sense2
QUEUE,Tokenize2,Sense2,102931198878100,LABPC18,Pride1_Sense2
START,Tokenize1,Pride1,102931198889700,LABPC18,Pride1_Sense2
START,Tokenize2,Sense2,102931199403000,LABPC18,Pride1_Sense2
START,Collect1,Pride1,102931199566100,LABPC18,Pride1_Sense2
START,Collect2,Sense2,102931199911200,LABPC18,Pride1_Sense2
QUEUE,Collect1,Pride1,102931211527500,LABPC18,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,102931212212200,LABPC18,Pride1_Sense2
STOP,Tokenize1,Pride1,102931212116500,LABPC18,Pride1_Sense2
STOP,Collect1,Pride1,102931212884600,LABPC18,Pride1_Sense2
START,ComputeScalar1,Pride1,102931212889700,LABPC18,Pride1_Sense2
STOP,ComputeScalar1,Pride1,102931214443400,LABPC18,Pride1_Sense2
QUEUE,Collect2,Sense2,102931217472100,LABPC18,Pride1_Sense2
STOP,Tokenize2,Sense2,102931218009700,LABPC18,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,102931218028100,LABPC18,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,102931218531400,LABPC18,Pride1_Sense2
START,ComputeScalar2,Sense2,102931218545100,LABPC18,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,102931219018400,LABPC18,Pride1_Sense2
STOP,Collect2,Sense2,102931219004800,LABPC18,Pride1_Sense2
STOP,ComputeScalar2,Sense2,102931220521200,LABPC18,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,102931220834500,LABPC18,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,102931221401600,LABPC18,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,102931221387900,LABPC18,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,102931221895300,LABPC18,Pride1_Sense2
QUEUE,Tokenize1,Pride1,102931242474300,LABPC18,Pride1_Sense3
QUEUE,Tokenize2,Sense3,102931243018800,LABPC18,Pride1_Sense3
START,Tokenize1,Pride1,102931243032500,LABPC18,Pride1_Sense3
START,Tokenize2,Sense3,102931243657700,LABPC18,Pride1_Sense3
START,Collect1,Pride1,102931243827300,LABPC18,Pride1_Sense3
START,Collect2,Sense3,102931244467200,LABPC18,Pride1_Sense3
