type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,6883691350063,d20,Pride1_Sense1
START,Tokenize1,Pride1,6883696195930,d20,Pride1_Sense1
QUEUE,Tokenize2,Sense1,6883696575355,d20,Pride1_Sense1
START,Tokenize2,Sense1,6883696721185,d20,Pride1_Sense1
STOP,Tokenize2,Sense1,6883770519997,d20,Pride1_Sense1
QUEUE,Collect2,Sense1,6883770932832,d20,Pride1_Sense1
START,Collect2,Sense1,6883771118441,d20,Pride1_Sense1
STOP,Collect2,Sense1,6883787332319,d20,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,6883788168771,d20,Pride1_Sense1
START,ComputeScalar3,Sense1,6883788390794,d20,Pride1_Sense1
STOP,ComputeScalar3,Sense1,6883791248953,d20,Pride1_Sense1
STOP,Tokenize1,Pride1,6883861416375,d20,Pride1_Sense1
QUEUE,Collect1,Pride1,6883861643061,d20,Pride1_Sense1
START,Collect1,Pride1,6883861812075,d20,Pride1_Sense1
STOP,Collect1,Pride1,6883900987507,d20,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,6883901270989,d20,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,6883901279920,d20,Pride1_Sense1
START,ComputeScalar1,Pride1,6883901384450,d20,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,6883901491802,d20,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,6883906219092,d20,Pride1_Sense1
STOP,ComputeScalar1,Pride1,6883907135955,d20,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,6883907270098,d20,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,6883907393454,d20,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,6883907522317,d20,Pride1_Sense1
QUEUE,Tokenize2,Sense2,6883917552188,d20,Pride1_Sense2
START,Tokenize2,Sense2,6883917649162,d20,Pride1_Sense2
STOP,Tokenize2,Sense2,6883920942171,d20,Pride1_Sense2
QUEUE,Collect2,Sense2,6883921063671,d20,Pride1_Sense2
START,Collect2,Sense2,6883921141303,d20,Pride1_Sense2
STOP,Collect2,Sense2,6883924142453,d20,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,6883924300298,d20,Pride1_Sense2
QUEUE,Tokenize1,Pride1,6883924370631,d20,Pride1_Sense2
START,Tokenize1,Pride1,6883924465331,d20,Pride1_Sense2
START,ComputeScalar3,Sense2,6883924400789,d20,Pride1_Sense2
STOP,ComputeScalar3,Sense2,6883925626020,d20,Pride1_Sense2
STOP,Tokenize1,Pride1,6883939896807,d20,Pride1_Sense2
QUEUE,Collect1,Pride1,6883940357196,d20,Pride1_Sense2
START,Collect1,Pride1,6883940470783,d20,Pride1_Sense2
STOP,Collect1,Pride1,6883969067867,d20,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,6883969609141,d20,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,6883969672436,d20,Pride1_Sense2
START,ComputeScalar1,Pride1,6883969727033,d20,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,6883969760973,d20,Pride1_Sense2
STOP,ComputeScalar1,Pride1,6883976580341,d20,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,6883976866527,d20,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,6883977067508,d20,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,6883977201588,d20,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,6883977280011,d20,Pride1_Sense2
QUEUE,Tokenize2,Sense3,6883979045593,d20,Pride1_Sense3
START,Tokenize2,Sense3,6883979179368,d20,Pride1_Sense3
QUEUE,Tokenize1,Pride1,6883979361455,d20,Pride1_Sense3
START,Tokenize1,Pride1,6883979498503,d20,Pride1_Sense3
STOP,Tokenize2,Sense3,6883991626730,d20,Pride1_Sense3
QUEUE,Collect2,Sense3,6883991887109,d20,Pride1_Sense3
START,Collect2,Sense3,6883992025004,d20,Pride1_Sense3
STOP,Collect2,Sense3,6884001901880,d20,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,6884002294295,d20,Pride1_Sense3
START,ComputeScalar3,Sense3,6884002427111,d20,Pride1_Sense3
STOP,ComputeScalar3,Sense3,6884004956003,d20,Pride1_Sense3
STOP,Tokenize1,Pride1,6884017340321,d20,Pride1_Sense3
QUEUE,Collect1,Pride1,6884017579664,d20,Pride1_Sense3
START,Collect1,Pride1,6884017711890,d20,Pride1_Sense3
STOP,Collect1,Pride1,6884029127414,d20,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,6884029890246,d20,Pride1_Sense3
START,ComputeScalar1,Pride1,6884030022197,d20,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,6884030197558,d20,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,6884030289294,d20,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,6884034117734,d20,Pride1_Sense3
STOP,ComputeScalar1,Pride1,6884034529572,d20,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,6884034650872,d20,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,6884034763732,d20,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,6884034824016,d20,Pride1_Sense3
QUEUE,Tokenize2,Sense4,6884036575996,d20,Pride1_Sense4
QUEUE,Tokenize1,Pride1,6884036592448,d20,Pride1_Sense4
START,Tokenize2,Sense4,6884036662197,d20,Pride1_Sense4
START,Tokenize1,Pride1,6884037131983,d20,Pride1_Sense4
STOP,Tokenize2,Sense4,6884054163167,d20,Pride1_Sense4
QUEUE,Collect2,Sense4,6884054477572,d20,Pride1_Sense4
START,Collect2,Sense4,6884054601245,d20,Pride1_Sense4
STOP,Collect2,Sense4,6884069982340,d20,Pride1_Sense4
QUEUE,ComputeScalar3,Sense4,6884070379126,d20,Pride1_Sense4
START,ComputeScalar3,Sense4,6884070488204,d20,Pride1_Sense4
STOP,ComputeScalar3,Sense4,6884073557703,d20,Pride1_Sense4
STOP,Tokenize1,Pride1,6884077684960,d20,Pride1_Sense4
QUEUE,Collect1,Pride1,6884078022904,d20,Pride1_Sense4
START,Collect1,Pride1,6884078186044,d20,Pride1_Sense4
STOP,Collect1,Pride1,6884084821237,d20,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,6884085194927,d20,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,6884085193316,d20,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,6884085327319,d20,Pride1_Sense4
START,ComputeScalar1,Pride1,6884085354230,d20,Pride1_Sense4
STOP,ComputeScalar1,Pride1,6884088714598,d20,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,6884088716773,d20,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,6884089099446,d20,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,6884089173027,d20,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,6884089206771,d20,Pride1_Sense4
QUEUE,Tokenize2,Sense5,6884090323455,d20,Pride1_Sense5
START,Tokenize2,Sense5,6884090432521,d20,Pride1_Sense5
QUEUE,Tokenize1,Pride1,6884090689167,d20,Pride1_Sense5
START,Tokenize1,Pride1,6884090768035,d20,Pride1_Sense5
STOP,Tokenize2,Sense5,6884098394978,d20,Pride1_Sense5
QUEUE,Collect2,Sense5,6884098619428,d20,Pride1_Sense5
START,Collect2,Sense5,6884098689709,d20,Pride1_Sense5
STOP,Collect2,Sense5,6884101964141,d20,Pride1_Sense5
QUEUE,ComputeScalar3,Sense5,6884102368289,d20,Pride1_Sense5
