type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,374176629874300,fazsindely,Pride1_Sense1
START,Tokenize1,Pride1,374176630464600,fazsindely,Pride1_Sense1
QUEUE,Tokenize2,Sense1,374176630457300,fazsindely,Pride1_Sense1
START,Tokenize2,Sense1,374176631176700,fazsindely,Pride1_Sense1
STOP,Tokenize2,Sense1,374176672026700,fazsindely,Pride1_Sense1
QUEUE,Collect2,Sense1,374176672892600,fazsindely,Pride1_Sense1
START,Collect2,Sense1,374176673484600,fazsindely,Pride1_Sense1
STOP,Tokenize1,Pride1,374176674532600,fazsindely,Pride1_Sense1
QUEUE,Collect1,Pride1,374176674944200,fazsindely,Pride1_Sense1
START,Collect1,Pride1,374176675403300,fazsindely,Pride1_Sense1
STOP,Collect2,Sense1,374176686087700,fazsindely,Pride1_Sense1
STOP,Collect1,Pride1,374176686128600,fazsindely,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,374176686550000,fazsindely,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,374176686605600,fazsindely,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,374176686596900,fazsindely,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,374176686959000,fazsindely,Pride1_Sense1
START,ComputeScalar3,Sense1,374176687191600,fazsindely,Pride1_Sense1
START,ComputeScalar1,Pride1,374176687360600,fazsindely,Pride1_Sense1
STOP,ComputeScalar3,Sense1,374176689240500,fazsindely,Pride1_Sense1
STOP,ComputeScalar1,Pride1,374176689255900,fazsindely,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,374176689506500,fazsindely,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,374176689812100,fazsindely,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,374176690080800,fazsindely,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,374176690351200,fazsindely,Pride1_Sense1
QUEUE,Tokenize1,Pride1,374176696525900,fazsindely,Pride1_Sense2
START,Tokenize1,Pride1,374176697043400,fazsindely,Pride1_Sense2
QUEUE,Tokenize2,Sense2,374176697044600,fazsindely,Pride1_Sense2
START,Tokenize2,Sense2,374176697564400,fazsindely,Pride1_Sense2
STOP,Tokenize1,Pride1,374176708165800,fazsindely,Pride1_Sense2
QUEUE,Collect1,Pride1,374176708522100,fazsindely,Pride1_Sense2
START,Collect1,Pride1,374176708885400,fazsindely,Pride1_Sense2
STOP,Tokenize2,Sense2,374176711806700,fazsindely,Pride1_Sense2
QUEUE,Collect2,Sense2,374176712335100,fazsindely,Pride1_Sense2
STOP,Collect1,Pride1,374176712439300,fazsindely,Pride1_Sense2
START,Collect2,Sense2,374176712870100,fazsindely,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,374176712940300,fazsindely,Pride1_Sense2
START,ComputeScalar1,Pride1,374176713374000,fazsindely,Pride1_Sense2
STOP,ComputeScalar1,Pride1,374176714073000,fazsindely,Pride1_Sense2
STOP,Collect2,Sense2,374176716641000,fazsindely,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,374176716944000,fazsindely,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,374176717243100,fazsindely,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,374176717241700,fazsindely,Pride1_Sense2
START,ComputeScalar3,Sense2,374176717719100,fazsindely,Pride1_Sense2
STOP,ComputeScalar3,Sense2,374176719192200,fazsindely,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,374176719415000,fazsindely,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,374176719712200,fazsindely,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,374176720004500,fazsindely,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,374176720231700,fazsindely,Pride1_Sense2
QUEUE,Tokenize1,Pride1,374176723033600,fazsindely,Pride1_Sense3
QUEUE,Tokenize2,Sense3,374176723327800,fazsindely,Pride1_Sense3
START,Tokenize1,Pride1,374176723342000,fazsindely,Pride1_Sense3
START,Tokenize2,Sense3,374176723653300,fazsindely,Pride1_Sense3
STOP,Tokenize1,Pride1,374176730349900,fazsindely,Pride1_Sense3
QUEUE,Collect1,Pride1,374176730710500,fazsindely,Pride1_Sense3
START,Collect1,Pride1,374176730999700,fazsindely,Pride1_Sense3
STOP,Collect1,Pride1,374176733076200,fazsindely,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,374176733367600,fazsindely,Pride1_Sense3
START,ComputeScalar1,Pride1,374176733710200,fazsindely,Pride1_Sense3
STOP,ComputeScalar1,Pride1,374176734643000,fazsindely,Pride1_Sense3
STOP,Tokenize2,Sense3,374176736117700,fazsindely,Pride1_Sense3
QUEUE,Collect2,Sense3,374176736400500,fazsindely,Pride1_Sense3
START,Collect2,Sense3,374176736723300,fazsindely,Pride1_Sense3
STOP,Collect2,Sense3,374176742186700,fazsindely,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,374176742592600,fazsindely,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,374176742933900,fazsindely,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,374176742933800,fazsindely,Pride1_Sense3
START,ComputeScalar3,Sense3,374176743565500,fazsindely,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,374176744970600,fazsindely,Pride1_Sense3
STOP,ComputeScalar3,Sense3,374176745702300,fazsindely,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,374176745974800,fazsindely,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,374176746285300,fazsindely,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,374176746551500,fazsindely,Pride1_Sense3
QUEUE,Tokenize1,Pride1,374176748613500,fazsindely,Pride1_Sense4
QUEUE,Tokenize2,Sense4,374176748948700,fazsindely,Pride1_Sense4
START,Tokenize1,Pride1,374176749038800,fazsindely,Pride1_Sense4
START,Tokenize2,Sense4,374176749339200,fazsindely,Pride1_Sense4
STOP,Tokenize1,Pride1,374176752304000,fazsindely,Pride1_Sense4
QUEUE,Collect1,Pride1,374176752601500,fazsindely,Pride1_Sense4
START,Collect1,Pride1,374176752964800,fazsindely,Pride1_Sense4
STOP,Collect1,Pride1,374176754804600,fazsindely,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,374176755118100,fazsindely,Pride1_Sense4
START,ComputeScalar1,Pride1,374176755514200,fazsindely,Pride1_Sense4
STOP,ComputeScalar1,Pride1,374176756239100,fazsindely,Pride1_Sense4
STOP,Tokenize2,Sense4,374176766831200,fazsindely,Pride1_Sense4
QUEUE,Collect2,Sense4,374176767278800,fazsindely,Pride1_Sense4
START,Collect2,Sense4,374176767563500,fazsindely,Pride1_Sense4
STOP,Collect2,Sense4,374176778206800,fazsindely,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,374176778508000,fazsindely,Pride1_Sense4
QUEUE,ComputeScalar3,Sense4,374176778840300,fazsindely,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,374176778883100,fazsindely,Pride1_Sense4
START,ComputeScalar3,Sense4,374176779103800,fazsindely,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,374176780849200,fazsindely,Pride1_Sense4
STOP,ComputeScalar3,Sense4,374176781851600,fazsindely,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,374176782057700,fazsindely,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,374176782302100,fazsindely,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,374176782525300,fazsindely,Pride1_Sense4
QUEUE,Tokenize1,Pride1,374176784377600,fazsindely,Pride1_Sense5
QUEUE,Tokenize2,Sense5,374176784675300,fazsindely,Pride1_Sense5
START,Tokenize1,Pride1,374176784698300,fazsindely,Pride1_Sense5
START,Tokenize2,Sense5,374176785006500,fazsindely,Pride1_Sense5
STOP,Tokenize1,Pride1,374176787613000,fazsindely,Pride1_Sense5
QUEUE,Collect1,Pride1,374176787933200,fazsindely,Pride1_Sense5
START,Collect1,Pride1,374176788197800,fazsindely,Pride1_Sense5
STOP,Collect1,Pride1,374176790068700,fazsindely,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1,374176790399700,fazsindely,Pride1_Sense5
START,ComputeScalar1,Pride1,374176790691700,fazsindely,Pride1_Sense5
STOP,ComputeScalar1,Pride1,374176791314600,fazsindely,Pride1_Sense5
STOP,Tokenize2,Sense5,374176807099800,fazsindely,Pride1_Sense5
QUEUE,Collect2,Sense5,374176807425100,fazsindely,Pride1_Sense5
START,Collect2,Sense5,374176807814200,fazsindely,Pride1_Sense5
STOP,Collect2,Sense5,374176832895700,fazsindely,Pride1_Sense5
QUEUE,ComputeScalar2,Pride1_Sense5,374176833221000,fazsindely,Pride1_Sense5
QUEUE,ComputeScalar3,Sense5,374176833529800,fazsindely,Pride1_Sense5
START,ComputeScalar2,Pride1_Sense5,374176833541100,fazsindely,Pride1_Sense5
START,ComputeScalar3,Sense5,374176834055400,fazsindely,Pride1_Sense5
STOP,ComputeScalar2,Pride1_Sense5,374176835591700,fazsindely,Pride1_Sense5
STOP,ComputeScalar3,Sense5,374176838962700,fazsindely,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,374176839365400,fazsindely,Pride1_Sense5
START,ComputeCosine,Pride1_Sense5,374176839758700,fazsindely,Pride1_Sense5
STOP,ComputeCosine,Pride1_Sense5,374176839977700,fazsindely,Pride1_Sense5
QUEUE,Tokenize1,Pride1,374176842981200,fazsindely,Pride1_Sense6
QUEUE,Tokenize2,Sense6,374176843359100,fazsindely,Pride1_Sense6
START,Tokenize1,Pride1,374176843402800,fazsindely,Pride1_Sense6
START,Tokenize2,Sense6,374176843647800,fazsindely,Pride1_Sense6
STOP,Tokenize1,Pride1,374176849228500,fazsindely,Pride1_Sense6
QUEUE,Collect1,Pride1,374176849738900,fazsindely,Pride1_Sense6
START,Collect1,Pride1,374176850214100,fazsindely,Pride1_Sense6
STOP,Collect1,Pride1,374176852262400,fazsindely,Pride1_Sense6
QUEUE,ComputeScalar1,Pride1,374176852613500,fazsindely,Pride1_Sense6
START,ComputeScalar1,Pride1,374176852915800,fazsindely,Pride1_Sense6
STOP,ComputeScalar1,Pride1,374176853637800,fazsindely,Pride1_Sense6
STOP,Tokenize2,Sense6,374176967623300,fazsindely,Pride1_Sense6
QUEUE,Collect2,Sense6,374176967988400,fazsindely,Pride1_Sense6
START,Collect2,Sense6,374176968333900,fazsindely,Pride1_Sense6
STOP,Collect2,Sense6,374177012720200,fazsindely,Pride1_Sense6
QUEUE,ComputeScalar2,Pride1_Sense6,374177013075900,fazsindely,Pride1_Sense6
QUEUE,ComputeScalar3,Sense6,374177013293700,fazsindely,Pride1_Sense6
START,ComputeScalar2,Pride1_Sense6,374177013329900,fazsindely,Pride1_Sense6
START,ComputeScalar3,Sense6,374177013656000,fazsindely,Pride1_Sense6
STOP,ComputeScalar2,Pride1_Sense6,374177015484400,fazsindely,Pride1_Sense6
STOP,ComputeScalar3,Sense6,374177018875100,fazsindely,Pride1_Sense6
QUEUE,ComputeCosine,Pride1_Sense6,374177019160900,fazsindely,Pride1_Sense6
START,ComputeCosine,Pride1_Sense6,374177019385100,fazsindely,Pride1_Sense6
STOP,ComputeCosine,Pride1_Sense6,374177019565500,fazsindely,Pride1_Sense6
QUEUE,Tokenize1,Pride2,374177020433600,fazsindely,Pride2_Sense1
QUEUE,Tokenize2,Sense1,374177020634000,fazsindely,Pride2_Sense1
START,Tokenize1,Pride2,374177020654800,fazsindely,Pride2_Sense1
START,Tokenize2,Sense1,374177020907900,fazsindely,Pride2_Sense1
