type, name, input_id, time, team, meas_id
QUEUE,Tokenize1,Pride1,1604172801081,igen,Pride1_Sense1
QUEUE,Tokenize2,Sense1,1604172801081,igen,Pride1_Sense1
START,Tokenize1,Pride1,1604172801081,igen,Pride1_Sense1
START,Tokenize2,Sense1,1604172801081,igen,Pride1_Sense1
STOP,Tokenize2,Sense1,1604172801081,igen,Pride1_Sense1
START,Collect2,Sense1,1604172801081,igen,Pride1_Sense1
STOP,Collect2,Sense1,1604172801091,igen,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,1604172801091,igen,Pride1_Sense1
QUEUE,Collect2,Sense1,1604172801096,igen,Pride1_Sense1
START,ComputeScalar2,Sense1,1604172801096,igen,Pride1_Sense1
STOP,ComputeScalar2,Sense1,1604172801096,igen,Pride1_Sense1
STOP,Tokenize1,Pride1,1604172801117,igen,Pride1_Sense1
QUEUE,Collect1,Pride1,1604172801122,igen,Pride1_Sense1
START,Collect1,Pride1,1604172801122,igen,Pride1_Sense1
STOP,Collect1,Pride1,1604172801151,igen,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,1604172801151,igen,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,1604172801151,igen,Pride1_Sense1
START,ComputeScalar1,Pride1,1604172801151,igen,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,1604172801151,igen,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,1604172801151,igen,Pride1_Sense1
STOP,ComputeScalar1,Pride1,1604172801151,igen,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,1604172801151,igen,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,1604172801151,igen,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,1604172801151,igen,Pride1_Sense1
QUEUE,Tokenize1,Pride1,1604172802762,igen,Pride1_Sense2
QUEUE,Tokenize2,Sense2,1604172802762,igen,Pride1_Sense2
START,Tokenize1,Pride1,1604172802762,igen,Pride1_Sense2
START,Tokenize2,Sense2,1604172802771,igen,Pride1_Sense2
STOP,Tokenize2,Sense2,1604172802771,igen,Pride1_Sense2
START,Collect2,Sense2,1604172802771,igen,Pride1_Sense2
STOP,Collect2,Sense2,1604172802776,igen,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,1604172802776,igen,Pride1_Sense2
START,ComputeScalar2,Sense2,1604172802776,igen,Pride1_Sense2
STOP,ComputeScalar2,Sense2,1604172802776,igen,Pride1_Sense2
QUEUE,Collect2,Sense2,1604172802781,igen,Pride1_Sense2
STOP,Tokenize1,Pride1,1604172802796,igen,Pride1_Sense2
START,Collect1,Pride1,1604172802801,igen,Pride1_Sense2
QUEUE,Collect1,Pride1,1604172802806,igen,Pride1_Sense2
STOP,Collect1,Pride1,1604172802832,igen,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,1604172802832,igen,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,1604172802832,igen,Pride1_Sense2
START,ComputeScalar1,Pride1,1604172802832,igen,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,1604172802832,igen,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,1604172802837,igen,Pride1_Sense2
STOP,ComputeScalar1,Pride1,1604172802837,igen,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,1604172802837,igen,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,1604172802837,igen,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,1604172802837,igen,Pride1_Sense2
QUEUE,Tokenize1,Pride1,1604172804417,igen,Pride1_Sense3
QUEUE,Tokenize2,Sense3,1604172804417,igen,Pride1_Sense3
START,Tokenize1,Pride1,1604172804417,igen,Pride1_Sense3
START,Tokenize2,Sense3,1604172804417,igen,Pride1_Sense3
STOP,Tokenize2,Sense3,1604172804417,igen,Pride1_Sense3
QUEUE,Collect2,Sense3,1604172804417,igen,Pride1_Sense3
START,Collect2,Sense3,1604172804422,igen,Pride1_Sense3
STOP,Collect2,Sense3,1604172804427,igen,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,1604172804427,igen,Pride1_Sense3
START,ComputeScalar2,Sense3,1604172804427,igen,Pride1_Sense3
STOP,ComputeScalar2,Sense3,1604172804427,igen,Pride1_Sense3
STOP,Tokenize1,Pride1,1604172804442,igen,Pride1_Sense3
QUEUE,Collect1,Pride1,1604172804452,igen,Pride1_Sense3
START,Collect1,Pride1,1604172804452,igen,Pride1_Sense3
STOP,Collect1,Pride1,1604172804476,igen,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,1604172804476,igen,Pride1_Sense3
