type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,16337047491000,jolesz,Pride1_Sense1
QUEUE,Tokenize1,Pride1,16337047490300,jolesz,Pride1_Sense1
START,Tokenize2,Sense1,16337047868800,jolesz,Pride1_Sense1
START,Tokenize1,Pride1,16337047868800,jolesz,Pride1_Sense1
STOP,Tokenize2,Sense1,16337083746700,jolesz,Pride1_Sense1
QUEUE,Collect2,Sense1,16337083786400,jolesz,Pride1_Sense1
START,Collect2,Sense1,16337084044800,jolesz,Pride1_Sense1
QUEUE,Collect1,Pride1,16337084073200,jolesz,Pride1_Sense1
STOP,Tokenize1,Pride1,16337084060800,jolesz,Pride1_Sense1
START,Collect1,Pride1,16337084266800,jolesz,Pride1_Sense1
STOP,Collect2,Sense1,16337198799500,jolesz,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,16337198818500,jolesz,Pride1_Sense1
START,ComputeScalar2,Sense1,16337199128500,jolesz,Pride1_Sense1
STOP,Collect1,Pride1,16337200274100,jolesz,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,16337200283000,jolesz,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,16337200320700,jolesz,Pride1_Sense1
START,ComputeScalar1,Pride1,16337200542300,jolesz,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,16337200649700,jolesz,Pride1_Sense1
STOP,ComputeScalar2,Sense1,16337218142100,jolesz,Pride1_Sense1
STOP,ComputeScalar1,Pride1,16337219734500,jolesz,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,16337220057600,jolesz,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,16337220083800,jolesz,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,16337220360300,jolesz,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,16337220622800,jolesz,Pride1_Sense1
QUEUE,Tokenize1,Pride1,16337223049700,jolesz,Pride1_Sense2
QUEUE,Tokenize2,Sense2,16337223059000,jolesz,Pride1_Sense2
START,Tokenize2,Sense2,16337223413900,jolesz,Pride1_Sense2
START,Tokenize1,Pride1,16337223357100,jolesz,Pride1_Sense2
QUEUE,Collect1,Pride1,16337232112700,jolesz,Pride1_Sense2
STOP,Tokenize1,Pride1,16337232098800,jolesz,Pride1_Sense2
START,Collect1,Pride1,16337232388600,jolesz,Pride1_Sense2
STOP,Tokenize2,Sense2,16337233620200,jolesz,Pride1_Sense2
QUEUE,Collect2,Sense2,16337233634800,jolesz,Pride1_Sense2
START,Collect2,Sense2,16337233866800,jolesz,Pride1_Sense2
STOP,Collect1,Pride1,16337320115100,jolesz,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,16337320116000,jolesz,Pride1_Sense2
START,ComputeScalar1,Pride1,16337320472700,jolesz,Pride1_Sense2
STOP,ComputeScalar1,Pride1,16337324035200,jolesz,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,16337478650300,jolesz,Pride1_Sense2
STOP,Collect2,Sense2,16337478600300,jolesz,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,16337478643800,jolesz,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,16337479005400,jolesz,Pride1_Sense2
START,ComputeScalar2,Sense2,16337479247800,jolesz,Pride1_Sense2
