type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,472629754972800,kritlab,Pride1_Sense1
QUEUE,Tokenize2,Sense1,472629770294000,kritlab,Pride1_Sense1
QUEUE,Collect1,Pride1,472629770495300,kritlab,Pride1_Sense1
QUEUE,Collect2,Sense1,472629770660700,kritlab,Pride1_Sense1
START,Tokenize2,Sense1,472629770781300,kritlab,Pride1_Sense1
START,Tokenize1,Pride1,472629770966500,kritlab,Pride1_Sense1
STOP,Tokenize2,Sense1,472629771157900,kritlab,Pride1_Sense1
START,Collect2,Sense1,472629771369000,kritlab,Pride1_Sense1
STOP,Tokenize1,Pride1,472629771555800,kritlab,Pride1_Sense1
START,Collect1,Pride1,472629771745600,kritlab,Pride1_Sense1
STOP,Collect2,Sense1,472629771926300,kritlab,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,472629772117500,kritlab,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,472629772311000,kritlab,Pride1_Sense1
START,ComputeScalar3,Sense1,472629772506700,kritlab,Pride1_Sense1
STOP,Collect1,Pride1,472629772672700,kritlab,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,472629772829300,kritlab,Pride1_Sense1
START,ComputeScalar1,Pride1,472629772996800,kritlab,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,472629773171900,kritlab,Pride1_Sense1
STOP,ComputeScalar1,Pride1,472629773348900,kritlab,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,472629773532800,kritlab,Pride1_Sense1
STOP,ComputeScalar3,Sense1,472629773691600,kritlab,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,472629773849900,kritlab,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,472629774050200,kritlab,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,472629774206600,kritlab,Pride1_Sense1
QUEUE,Tokenize1,Pride1,472629818989800,kritlab,Pride1_Sense2
QUEUE,Tokenize2,Sense2,472629819271700,kritlab,Pride1_Sense2
QUEUE,Collect1,Pride1,472629819418600,kritlab,Pride1_Sense2
QUEUE,Collect2,Sense2,472629819599100,kritlab,Pride1_Sense2
START,Tokenize1,Pride1,472629819737600,kritlab,Pride1_Sense2
START,Tokenize2,Sense2,472629819865600,kritlab,Pride1_Sense2
STOP,Tokenize1,Pride1,472629820011000,kritlab,Pride1_Sense2
START,Collect1,Pride1,472629820149100,kritlab,Pride1_Sense2
STOP,Collect1,Pride1,472629820299800,kritlab,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,472629820424400,kritlab,Pride1_Sense2
START,ComputeScalar1,Pride1,472629820559500,kritlab,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,472629820685000,kritlab,Pride1_Sense2
STOP,Tokenize2,Sense2,472629820803800,kritlab,Pride1_Sense2
START,Collect2,Sense2,472629820920100,kritlab,Pride1_Sense2
STOP,ComputeScalar1,Pride1,472629821063500,kritlab,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,472629821212200,kritlab,Pride1_Sense2
STOP,Collect2,Sense2,472629821399500,kritlab,Pride1_Sense2
