type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense5,37101878299333,Subdomino,Pride2_Sense5
START,Tokenize2,Sense5,37101878385583,Subdomino,Pride2_Sense5
QUEUE,Tokenize1,Pride2,37101878299458,Subdomino,Pride2_Sense5
START,Tokenize1,Pride2,37101878443916,Subdomino,Pride2_Sense5
STOP,Tokenize1,Pride2,37101914632041,Subdomino,Pride2_Sense5
QUEUE,Collect1,Pride2,37101914788291,Subdomino,Pride2_Sense5
START,Collect1,Pride2,37101914819708,Subdomino,Pride2_Sense5
STOP,Collect1,Pride2,37101924413375,Subdomino,Pride2_Sense5
STOP,Tokenize2,Sense5,37101926764833,Subdomino,Pride2_Sense5
QUEUE,Collect2,Sense5,37101926844333,Subdomino,Pride2_Sense5
START,Collect2,Sense5,37101926861458,Subdomino,Pride2_Sense5
STOP,Collect2,Sense5,37101965345958,Subdomino,Pride2_Sense5
QUEUE,ComputeScalar1,Pride2,37101965754291,Subdomino,Pride2_Sense5
QUEUE,ComputeScalar3,Sense5,37101965777708,Subdomino,Pride2_Sense5
START,ComputeScalar3,Sense5,37101965817166,Subdomino,Pride2_Sense5
QUEUE,ComputeScalar2,Pride2_Sense5,37101965754625,Subdomino,Pride2_Sense5
START,ComputeScalar2,Pride2_Sense5,37101965880625,Subdomino,Pride2_Sense5
START,ComputeScalar1,Pride2,37101965785958,Subdomino,Pride2_Sense5
STOP,ComputeScalar1,Pride2,37101968038583,Subdomino,Pride2_Sense5
STOP,ComputeScalar2,Pride2_Sense5,37101969964416,Subdomino,Pride2_Sense5
STOP,ComputeScalar3,Sense5,37101971607000,Subdomino,Pride2_Sense5
QUEUE,ComputeCosine,Pride2_Sense5,37101971976083,Subdomino,Pride2_Sense5
START,ComputeCosine,Pride2_Sense5,37101972008166,Subdomino,Pride2_Sense5
STOP,ComputeCosine,Pride2_Sense5,37101972022833,Subdomino,Pride2_Sense5
QUEUE,Tokenize2,Sense4,37101974212541,Subdomino,Pride2_Sense4
START,Tokenize2,Sense4,37101974244083,Subdomino,Pride2_Sense4
QUEUE,Tokenize1,Pride2,37101974225125,Subdomino,Pride2_Sense4
START,Tokenize1,Pride2,37101974282541,Subdomino,Pride2_Sense4
STOP,Tokenize1,Pride2,37101977392458,Subdomino,Pride2_Sense4
QUEUE,Collect1,Pride2,37101977450291,Subdomino,Pride2_Sense4
START,Collect1,Pride2,37101977464291,Subdomino,Pride2_Sense4
STOP,Collect1,Pride2,37101981610791,Subdomino,Pride2_Sense4
STOP,Tokenize2,Sense4,37101985390458,Subdomino,Pride2_Sense4
QUEUE,Collect2,Sense4,37101985466708,Subdomino,Pride2_Sense4
START,Collect2,Sense4,37101985479958,Subdomino,Pride2_Sense4
STOP,Collect2,Sense4,37102001722875,Subdomino,Pride2_Sense4
QUEUE,ComputeScalar2,Pride2_Sense4,37102001862375,Subdomino,Pride2_Sense4
START,ComputeScalar2,Pride2_Sense4,37102001874833,Subdomino,Pride2_Sense4
QUEUE,ComputeScalar1,Pride2,37102001873375,Subdomino,Pride2_Sense4
START,ComputeScalar1,Pride2,37102001920500,Subdomino,Pride2_Sense4
QUEUE,ComputeScalar3,Sense4,37102001947666,Subdomino,Pride2_Sense4
START,ComputeScalar3,Sense4,37102001959791,Subdomino,Pride2_Sense4
STOP,ComputeScalar1,Pride2,37102003588583,Subdomino,Pride2_Sense4
STOP,ComputeScalar2,Pride2_Sense4,37102004063291,Subdomino,Pride2_Sense4
STOP,ComputeScalar3,Sense4,37102004946125,Subdomino,Pride2_Sense4
QUEUE,ComputeCosine,Pride2_Sense4,37102005093166,Subdomino,Pride2_Sense4
START,ComputeCosine,Pride2_Sense4,37102005177083,Subdomino,Pride2_Sense4
STOP,ComputeCosine,Pride2_Sense4,37102005188916,Subdomino,Pride2_Sense4
QUEUE,Tokenize1,Pride2,37102007507958,Subdomino,Pride2_Sense6
START,Tokenize1,Pride2,37102007534375,Subdomino,Pride2_Sense6
QUEUE,Tokenize2,Sense6,37102007568291,Subdomino,Pride2_Sense6
START,Tokenize2,Sense6,37102007586708,Subdomino,Pride2_Sense6
STOP,Tokenize1,Pride2,37102009793125,Subdomino,Pride2_Sense6
QUEUE,Collect1,Pride2,37102009881541,Subdomino,Pride2_Sense6
START,Collect1,Pride2,37102010017708,Subdomino,Pride2_Sense6
STOP,Collect1,Pride2,37102014202416,Subdomino,Pride2_Sense6
STOP,Tokenize2,Sense6,37102041350000,Subdomino,Pride2_Sense6
QUEUE,Collect2,Sense6,37102041509541,Subdomino,Pride2_Sense6
START,Collect2,Sense6,37102041528833,Subdomino,Pride2_Sense6
STOP,Collect2,Sense6,37102086811458,Subdomino,Pride2_Sense6
QUEUE,ComputeScalar1,Pride2,37102087019708,Subdomino,Pride2_Sense6
START,ComputeScalar1,Pride2,37102087035583,Subdomino,Pride2_Sense6
QUEUE,ComputeScalar3,Sense6,37102087052416,Subdomino,Pride2_Sense6
START,ComputeScalar3,Sense6,37102087520458,Subdomino,Pride2_Sense6
STOP,ComputeScalar1,Pride2,37102087378875,Subdomino,Pride2_Sense6
