type,name,input_id,time,team,meas_id
START,Tokenize1,Pride1,438485624517200,tea,Pride1_Sense1
QUEUE,Tokenize1,Pride1,438485624517300,tea,Pride1_Sense1
QUEUE,Tokenize2,Sense1,438485624769200,tea,Pride1_Sense1
START,Tokenize2,Sense1,438485624812700,tea,Pride1_Sense1
QUEUE,Tokenize1,Pride1,438485628214500,tea,Pride1_Sense2
QUEUE,Tokenize2,Sense2,438485628292500,tea,Pride1_Sense2
QUEUE,Tokenize1,Pride1,438485629944500,tea,Pride1_Sense3
QUEUE,Tokenize2,Sense3,438485630311500,tea,Pride1_Sense3
QUEUE,Tokenize1,Pride1,438485632581800,tea,Pride1_Sense4
QUEUE,Tokenize2,Sense4,438485632685400,tea,Pride1_Sense4
QUEUE,Tokenize1,Pride1,438485634415300,tea,Pride1_Sense5
QUEUE,Tokenize2,Sense5,438485634601300,tea,Pride1_Sense5
QUEUE,Tokenize1,Pride1,438485637123700,tea,Pride1_Sense6
QUEUE,Tokenize2,Sense6,438485637239400,tea,Pride1_Sense6
QUEUE,Tokenize1,Pride2,438485638375200,tea,Pride2_Sense1
QUEUE,Tokenize2,Sense1,438485638744300,tea,Pride2_Sense1
QUEUE,Tokenize1,Pride2,438485639851600,tea,Pride2_Sense2
QUEUE,Tokenize2,Sense2,438485639957600,tea,Pride2_Sense2
QUEUE,Tokenize1,Pride2,438485640838100,tea,Pride2_Sense3
QUEUE,Tokenize2,Sense3,438485640919500,tea,Pride2_Sense3
QUEUE,Tokenize1,Pride2,438485642227500,tea,Pride2_Sense4
QUEUE,Tokenize2,Sense4,438485642378500,tea,Pride2_Sense4
QUEUE,Tokenize1,Pride2,438485643826100,tea,Pride2_Sense5
QUEUE,Tokenize2,Sense5,438485643934900,tea,Pride2_Sense5
QUEUE,Tokenize1,Pride2,438485645902100,tea,Pride2_Sense6
QUEUE,Tokenize2,Sense6,438485646004200,tea,Pride2_Sense6
QUEUE,Tokenize1,Pride3,438485646860700,tea,Pride3_Sense1
QUEUE,Tokenize2,Sense1,438485646948500,tea,Pride3_Sense1
QUEUE,Tokenize1,Pride3,438485647652600,tea,Pride3_Sense2
QUEUE,Tokenize2,Sense2,438485647740700,tea,Pride3_Sense2
QUEUE,Tokenize1,Pride3,438485648773000,tea,Pride3_Sense3
QUEUE,Tokenize2,Sense3,438485648899400,tea,Pride3_Sense3
QUEUE,Tokenize1,Pride3,438485650710400,tea,Pride3_Sense4
QUEUE,Tokenize2,Sense4,438485650816300,tea,Pride3_Sense4
QUEUE,Tokenize1,Pride3,438485653630900,tea,Pride3_Sense5
QUEUE,Tokenize2,Sense5,438485653735400,tea,Pride3_Sense5
QUEUE,Tokenize1,Pride3,438485656749400,tea,Pride3_Sense6
QUEUE,Tokenize2,Sense6,438485657075500,tea,Pride3_Sense6
QUEUE,Tokenize1,Pride4,438485658057400,tea,Pride4_Sense1
QUEUE,Tokenize2,Sense1,438485658137700,tea,Pride4_Sense1
QUEUE,Tokenize1,Pride4,438485658751600,tea,Pride4_Sense2
QUEUE,Tokenize2,Sense2,438485658830000,tea,Pride4_Sense2
QUEUE,Tokenize1,Pride4,438485659613400,tea,Pride4_Sense3
QUEUE,Tokenize2,Sense3,438485659692700,tea,Pride4_Sense3
QUEUE,Tokenize1,Pride4,438485660646500,tea,Pride4_Sense4
QUEUE,Tokenize2,Sense4,438485660961200,tea,Pride4_Sense4
QUEUE,Tokenize1,Pride4,438485662066300,tea,Pride4_Sense5
QUEUE,Tokenize2,Sense5,438485662326000,tea,Pride4_Sense5
QUEUE,Tokenize1,Pride4,438485663949700,tea,Pride4_Sense6
QUEUE,Tokenize2,Sense6,438485664219500,tea,Pride4_Sense6
QUEUE,Tokenize1,Pride5,438485665474600,tea,Pride5_Sense1
QUEUE,Tokenize2,Sense1,438485665655700,tea,Pride5_Sense1
QUEUE,Tokenize1,Pride5,438485671440400,tea,Pride5_Sense2
QUEUE,Tokenize2,Sense2,438485671555000,tea,Pride5_Sense2
QUEUE,Tokenize1,Pride5,438485681003600,tea,Pride5_Sense3
QUEUE,Tokenize2,Sense3,438485681335300,tea,Pride5_Sense3
STOP,Tokenize2,Sense1,438485683281700,tea,Pride1_Sense1
QUEUE,Collect2,Sense1,438485683634500,tea,Pride1_Sense1
START,Tokenize2,Sense2,438485683806300,tea,Pride1_Sense2
STOP,Tokenize1,Pride1,438485686781200,tea,Pride1_Sense1
QUEUE,Collect1,Pride1,438485686919300,tea,Pride1_Sense1
START,Tokenize1,Pride1,438485686998600,tea,Pride1_Sense2
QUEUE,Tokenize1,Pride5,438485694585000,tea,Pride5_Sense4
START,Collect2,Sense1,438485700466700,tea,Pride1_Sense1
STOP,Tokenize1,Pride1,438485704602900,tea,Pride1_Sense2
QUEUE,Collect1,Pride1,438485704722800,tea,Pride1_Sense2
START,Tokenize1,Pride1,438485704790800,tea,Pride1_Sense3
QUEUE,Tokenize2,Sense4,438485706020100,tea,Pride5_Sense4
QUEUE,Tokenize1,Pride5,438485710226900,tea,Pride5_Sense5
QUEUE,Tokenize2,Sense5,438485710513100,tea,Pride5_Sense5
STOP,Tokenize2,Sense2,438485715155200,tea,Pride1_Sense2
QUEUE,Collect2,Sense2,438485715300900,tea,Pride1_Sense2
START,Tokenize2,Sense3,438485715362600,tea,Pride1_Sense3
