type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,250439807920900,tea,Pride1_Sense1
START,Tokenize1,Pride1,250439807920900,tea,Pride1_Sense1
QUEUE,Tokenize1,Sense1,250439808088000,tea,Pride1_Sense1
START,Tokenize2,Sense1,250439808108300,tea,Pride1_Sense1
QUEUE,Tokenize1,Pride1,250439812040500,tea,Pride1_Sense2
QUEUE,Tokenize1,Sense2,250439812393200,tea,Pride1_Sense2
QUEUE,Tokenize1,Pride1,250439815491700,tea,Pride1_Sense3
QUEUE,Tokenize1,Sense3,250439815580400,tea,Pride1_Sense3
QUEUE,Tokenize1,Pride1,250439818784900,tea,Pride1_Sense4
QUEUE,Tokenize1,Sense4,250439818916600,tea,Pride1_Sense4
QUEUE,Tokenize1,Pride1,250439822892900,tea,Pride1_Sense5
QUEUE,Tokenize1,Sense5,250439823004000,tea,Pride1_Sense5
QUEUE,Tokenize1,Pride1,250439827177700,tea,Pride1_Sense6
QUEUE,Tokenize1,Sense6,250439827278400,tea,Pride1_Sense6
QUEUE,Tokenize1,Pride2,250439829340800,tea,Pride2_Sense1
QUEUE,Tokenize1,Sense1,250439829421000,tea,Pride2_Sense1
QUEUE,Tokenize1,Pride2,250439829913000,tea,Pride2_Sense2
QUEUE,Tokenize1,Sense2,250439829969900,tea,Pride2_Sense2
QUEUE,Tokenize1,Pride2,250439830343500,tea,Pride2_Sense3
QUEUE,Tokenize1,Sense3,250439830397800,tea,Pride2_Sense3
QUEUE,Tokenize1,Pride2,250439831295400,tea,Pride2_Sense4
QUEUE,Tokenize1,Sense4,250439831357200,tea,Pride2_Sense4
QUEUE,Tokenize1,Pride2,250439833032600,tea,Pride2_Sense5
QUEUE,Tokenize1,Sense5,250439833099200,tea,Pride2_Sense5
QUEUE,Tokenize1,Pride2,250439835167900,tea,Pride2_Sense6
QUEUE,Tokenize1,Sense6,250439835293800,tea,Pride2_Sense6
QUEUE,Tokenize1,Pride3,250439838552600,tea,Pride3_Sense1
QUEUE,Tokenize1,Sense1,250439838627500,tea,Pride3_Sense1
QUEUE,Tokenize1,Pride3,250439839203400,tea,Pride3_Sense2
QUEUE,Tokenize1,Sense2,250439839267500,tea,Pride3_Sense2
QUEUE,Tokenize1,Pride3,250439839886600,tea,Pride3_Sense3
QUEUE,Tokenize1,Sense3,250439839959100,tea,Pride3_Sense3
QUEUE,Tokenize1,Pride3,250439840659400,tea,Pride3_Sense4
QUEUE,Tokenize1,Sense4,250439840726100,tea,Pride3_Sense4
QUEUE,Tokenize1,Pride3,250439841598600,tea,Pride3_Sense5
QUEUE,Tokenize1,Sense5,250439841685100,tea,Pride3_Sense5
QUEUE,Tokenize1,Pride3,250439843018300,tea,Pride3_Sense6
QUEUE,Tokenize1,Sense6,250439843103300,tea,Pride3_Sense6
QUEUE,Tokenize1,Pride4,250439846399400,tea,Pride4_Sense1
QUEUE,Tokenize1,Sense1,250439846486800,tea,Pride4_Sense1
QUEUE,Tokenize1,Pride4,250439847266100,tea,Pride4_Sense2
QUEUE,Tokenize1,Sense2,250439847341800,tea,Pride4_Sense2
QUEUE,Tokenize1,Pride4,250439848575400,tea,Pride4_Sense3
QUEUE,Tokenize1,Sense3,250439848664100,tea,Pride4_Sense3
QUEUE,Tokenize1,Pride4,250439849705000,tea,Pride4_Sense4
QUEUE,Tokenize1,Sense4,250439849835000,tea,Pride4_Sense4
QUEUE,Tokenize1,Pride4,250439852287600,tea,Pride4_Sense5
QUEUE,Tokenize1,Sense5,250439853085300,tea,Pride4_Sense5
STOP,Tokenize2,Sense1,250439856314200,tea,Pride1_Sense1
QUEUE,Tokenize1,Pride4,250439856314200,tea,Pride4_Sense6
START,Collect2,Sense1,250439856507400,tea,Pride1_Sense1
QUEUE,Collect2,Sense1,250439856482900,tea,Pride1_Sense1
QUEUE,Tokenize1,Sense6,250439856659700,tea,Pride4_Sense6
START,Tokenize2,Sense2,250439856745200,tea,Pride1_Sense2
STOP,Tokenize1,Pride1,250439857224200,tea,Pride1_Sense1
QUEUE,Collect1,Pride1,250439857318400,tea,Pride1_Sense1
START,Tokenize1,Pride1,250439857377600,tea,Pride1_Sense2
START,Collect1,Pride1,250439857343600,tea,Pride1_Sense1
STOP,Tokenize1,Pride1,250439875787200,tea,Pride1_Sense2
QUEUE,Collect1,Pride1,250439875911300,tea,Pride1_Sense2
START,Tokenize1,Pride1,250439875973300,tea,Pride1_Sense3
STOP,Tokenize2,Sense2,250439879136900,tea,Pride1_Sense2
QUEUE,Collect2,Sense2,250439879258700,tea,Pride1_Sense2
START,Tokenize2,Sense3,250439879333800,tea,Pride1_Sense3
STOP,Tokenize1,Pride1,250439885261400,tea,Pride1_Sense3
QUEUE,Collect1,Pride1,250439885393600,tea,Pride1_Sense3
START,Tokenize1,Pride1,250439885481500,tea,Pride1_Sense4
STOP,Tokenize1,Pride1,250439893896600,tea,Pride1_Sense4
QUEUE,Collect1,Pride1,250439894095200,tea,Pride1_Sense4
START,Tokenize1,Pride1,250439894164700,tea,Pride1_Sense5
STOP,Tokenize1,Pride1,250439900327700,tea,Pride1_Sense5
QUEUE,Collect1,Pride1,250439900455900,tea,Pride1_Sense5
START,Tokenize1,Pride1,250439900517500,tea,Pride1_Sense6
QUEUE,Tokenize1,Pride5,250439905514000,tea,Pride5_Sense1
QUEUE,Tokenize1,Sense1,250439905660700,tea,Pride5_Sense1
QUEUE,Tokenize1,Pride5,250439907697300,tea,Pride5_Sense2
STOP,Tokenize1,Pride1,250439907862200,tea,Pride1_Sense6
