type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,739175533673600,thyme-csi,Pride1_Sense1
QUEUE,Tokenize2,Sense1,739175533673100,thyme-csi,Pride1_Sense1
START,Tokenize1,Pride1,739175544280700,thyme-csi,Pride1_Sense1
START,Tokenize2,Sense1,739175544281000,thyme-csi,Pride1_Sense1
STOP,Tokenize1,Pride1,739175547049300,thyme-csi,Pride1_Sense1
QUEUE,Collect1,Pride1,739175547066700,thyme-csi,Pride1_Sense1
STOP,Tokenize2,Sense1,739175547050000,thyme-csi,Pride1_Sense1
QUEUE,Collect2,Sense1,739175547070700,thyme-csi,Pride1_Sense1
START,Collect1,Pride1,739175547486900,thyme-csi,Pride1_Sense1
START,Collect2,Sense1,739175547603200,thyme-csi,Pride1_Sense1
STOP,Collect2,Sense1,739175552793100,thyme-csi,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,739175552804900,thyme-csi,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,739175552830200,thyme-csi,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,739175552815200,thyme-csi,Pride1_Sense1
STOP,Collect1,Pride1,739175552810200,thyme-csi,Pride1_Sense1
START,ComputeScalar3,Sense1,739175553432400,thyme-csi,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,739175553460200,thyme-csi,Pride1_Sense1
START,ComputeScalar1,Pride1,739175553521400,thyme-csi,Pride1_Sense1
STOP,ComputeScalar3,Sense1,739175553850400,thyme-csi,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,739175553861900,thyme-csi,Pride1_Sense1
STOP,ComputeScalar1,Pride1,739175553877500,thyme-csi,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,739175553905800,thyme-csi,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,739175554329700,thyme-csi,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,739175554576000,thyme-csi,Pride1_Sense1
QUEUE,Tokenize2,Sense2,739175556192200,thyme-csi,Pride1_Sense2
QUEUE,Tokenize1,Pride1,739175556181700,thyme-csi,Pride1_Sense2
START,Tokenize1,Pride1,739175556456200,thyme-csi,Pride1_Sense2
START,Tokenize2,Sense2,739175556457600,thyme-csi,Pride1_Sense2
STOP,Tokenize2,Sense2,739175558079700,thyme-csi,Pride1_Sense2
STOP,Tokenize1,Pride1,739175558080500,thyme-csi,Pride1_Sense2
QUEUE,Collect1,Pride1,739175558096700,thyme-csi,Pride1_Sense2
QUEUE,Collect2,Sense2,739175558093400,thyme-csi,Pride1_Sense2
START,Collect1,Pride1,739175558533000,thyme-csi,Pride1_Sense2
START,Collect2,Sense2,739175558664400,thyme-csi,Pride1_Sense2
STOP,Collect1,Pride1,739175558950600,thyme-csi,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,739175558957200,thyme-csi,Pride1_Sense2
STOP,Collect2,Sense2,739175559025000,thyme-csi,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,739175559044100,thyme-csi,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,739175559022000,thyme-csi,Pride1_Sense2
START,ComputeScalar1,Pride1,739175559422600,thyme-csi,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,739175559523900,thyme-csi,Pride1_Sense2
START,ComputeScalar3,Sense2,739175559527300,thyme-csi,Pride1_Sense2
STOP,ComputeScalar1,Pride1,739175559753200,thyme-csi,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,739175559946000,thyme-csi,Pride1_Sense2
STOP,ComputeScalar3,Sense2,739175559925500,thyme-csi,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,739175559956700,thyme-csi,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,739175560283000,thyme-csi,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,739175560491500,thyme-csi,Pride1_Sense2
QUEUE,Tokenize1,Pride1,739175561314300,thyme-csi,Pride1_Sense3
QUEUE,Tokenize2,Sense3,739175561313400,thyme-csi,Pride1_Sense3
START,Tokenize1,Pride1,739175561666300,thyme-csi,Pride1_Sense3
START,Tokenize2,Sense3,739175561661900,thyme-csi,Pride1_Sense3
STOP,Tokenize2,Sense3,739175562577600,thyme-csi,Pride1_Sense3
QUEUE,Collect2,Sense3,739175562591800,thyme-csi,Pride1_Sense3
QUEUE,Collect1,Pride1,739175562648000,thyme-csi,Pride1_Sense3
STOP,Tokenize1,Pride1,739175562632700,thyme-csi,Pride1_Sense3
START,Collect1,Pride1,739175562959000,thyme-csi,Pride1_Sense3
START,Collect2,Sense3,739175562954900,thyme-csi,Pride1_Sense3
STOP,Collect2,Sense3,739175563381700,thyme-csi,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,739175563394200,thyme-csi,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,739175563398900,thyme-csi,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,739175563410400,thyme-csi,Pride1_Sense3
STOP,Collect1,Pride1,739175563395600,thyme-csi,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,739175563995600,thyme-csi,Pride1_Sense3
START,ComputeScalar1,Pride1,739175563964000,thyme-csi,Pride1_Sense3
START,ComputeScalar3,Sense3,739175564068500,thyme-csi,Pride1_Sense3
STOP,ComputeScalar1,Pride1,739175564302000,thyme-csi,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,739175564327500,thyme-csi,Pride1_Sense3
STOP,ComputeScalar3,Sense3,739175564398900,thyme-csi,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,739175564413300,thyme-csi,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,739175564747000,thyme-csi,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,739175564971400,thyme-csi,Pride1_Sense3
QUEUE,Tokenize1,Pride1,739175565913200,thyme-csi,Pride1_Sense4
QUEUE,Tokenize2,Sense4,739175565923500,thyme-csi,Pride1_Sense4
START,Tokenize1,Pride1,739175566128900,thyme-csi,Pride1_Sense4
START,Tokenize2,Sense4,739175566185100,thyme-csi,Pride1_Sense4
STOP,Tokenize2,Sense4,739175567095400,thyme-csi,Pride1_Sense4
QUEUE,Collect2,Sense4,739175567109300,thyme-csi,Pride1_Sense4
QUEUE,Collect1,Pride1,739175567124300,thyme-csi,Pride1_Sense4
STOP,Tokenize1,Pride1,739175567109100,thyme-csi,Pride1_Sense4
START,Collect2,Sense4,739175567639000,thyme-csi,Pride1_Sense4
START,Collect1,Pride1,739175567710300,thyme-csi,Pride1_Sense4
STOP,Collect1,Pride1,739175568057300,thyme-csi,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,739175568077000,thyme-csi,Pride1_Sense4
QUEUE,ComputeScalar3,Sense4,739175568074000,thyme-csi,Pride1_Sense4
STOP,Collect2,Sense4,739175568059600,thyme-csi,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,739175568069500,thyme-csi,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,739175568611400,thyme-csi,Pride1_Sense4
START,ComputeScalar3,Sense4,739175568715400,thyme-csi,Pride1_Sense4
START,ComputeScalar1,Pride1,739175568719700,thyme-csi,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,739175568945500,thyme-csi,Pride1_Sense4
STOP,ComputeScalar1,Pride1,739175569154500,thyme-csi,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,739175569202600,thyme-csi,Pride1_Sense4
STOP,ComputeScalar3,Sense4,739175569155900,thyme-csi,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,739175569649300,thyme-csi,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,739175569889900,thyme-csi,Pride1_Sense4
QUEUE,Tokenize2,Sense5,739175570800600,thyme-csi,Pride1_Sense5
QUEUE,Tokenize1,Pride1,739175570806400,thyme-csi,Pride1_Sense5
START,Tokenize1,Pride1,739175571135700,thyme-csi,Pride1_Sense5
START,Tokenize2,Sense5,739175571133000,thyme-csi,Pride1_Sense5
QUEUE,Collect2,Sense5,739175572087100,thyme-csi,Pride1_Sense5
QUEUE,Collect1,Pride1,739175572090400,thyme-csi,Pride1_Sense5
STOP,Tokenize2,Sense5,739175572070100,thyme-csi,Pride1_Sense5
STOP,Tokenize1,Pride1,739175572070100,thyme-csi,Pride1_Sense5
START,Collect1,Pride1,739175572708700,thyme-csi,Pride1_Sense5
START,Collect2,Sense5,739175572654600,thyme-csi,Pride1_Sense5
STOP,Collect2,Sense5,739175573085200,thyme-csi,Pride1_Sense5
QUEUE,ComputeScalar3,Sense5,739175573096500,thyme-csi,Pride1_Sense5
QUEUE,ComputeScalar2,Pride1_Sense5,739175573116800,thyme-csi,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1,739175573104400,thyme-csi,Pride1_Sense5
STOP,Collect1,Pride1,739175573103100,thyme-csi,Pride1_Sense5
START,ComputeScalar3,Sense5,739175573591200,thyme-csi,Pride1_Sense5
START,ComputeScalar2,Pride1_Sense5,739175573629200,thyme-csi,Pride1_Sense5
START,ComputeScalar1,Pride1,739175573698500,thyme-csi,Pride1_Sense5
STOP,ComputeScalar2,Pride1_Sense5,739175574087600,thyme-csi,Pride1_Sense5
STOP,ComputeScalar1,Pride1,739175574112800,thyme-csi,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,739175574126500,thyme-csi,Pride1_Sense5
STOP,ComputeScalar3,Sense5,739175574107000,thyme-csi,Pride1_Sense5
START,ComputeCosine,Pride1_Sense5,739175574625700,thyme-csi,Pride1_Sense5
STOP,ComputeCosine,Pride1_Sense5,739175574912100,thyme-csi,Pride1_Sense5
QUEUE,Tokenize2,Sense6,739175575786200,thyme-csi,Pride1_Sense6
QUEUE,Tokenize1,Pride1,739175575789600,thyme-csi,Pride1_Sense6
START,Tokenize1,Pride1,739175576117700,thyme-csi,Pride1_Sense6
START,Tokenize2,Sense6,739175576116500,thyme-csi,Pride1_Sense6
QUEUE,Collect2,Sense6,739175577618800,thyme-csi,Pride1_Sense6
STOP,Tokenize2,Sense6,739175577606300,thyme-csi,Pride1_Sense6
STOP,Tokenize1,Pride1,739175577615500,thyme-csi,Pride1_Sense6
QUEUE,Collect1,Pride1,739175577629700,thyme-csi,Pride1_Sense6
START,Collect2,Sense6,739175578110200,thyme-csi,Pride1_Sense6
START,Collect1,Pride1,739175578224500,thyme-csi,Pride1_Sense6
QUEUE,ComputeScalar3,Sense6,739175578528900,thyme-csi,Pride1_Sense6
STOP,Collect2,Sense6,739175578520200,thyme-csi,Pride1_Sense6
STOP,Collect1,Pride1,739175578625100,thyme-csi,Pride1_Sense6
QUEUE,ComputeScalar2,Pride1_Sense6,739175578638800,thyme-csi,Pride1_Sense6
QUEUE,ComputeScalar1,Pride1,739175578632700,thyme-csi,Pride1_Sense6
START,ComputeScalar3,Sense6,739175578928600,thyme-csi,Pride1_Sense6
START,ComputeScalar2,Pride1_Sense6,739175579162900,thyme-csi,Pride1_Sense6
START,ComputeScalar1,Pride1,739175579168700,thyme-csi,Pride1_Sense6
STOP,ComputeScalar3,Sense6,739175579349800,thyme-csi,Pride1_Sense6
STOP,ComputeScalar1,Pride1,739175579538400,thyme-csi,Pride1_Sense6
STOP,ComputeScalar2,Pride1_Sense6,739175579570100,thyme-csi,Pride1_Sense6
QUEUE,ComputeCosine,Pride1_Sense6,739175579585900,thyme-csi,Pride1_Sense6
START,ComputeCosine,Pride1_Sense6,739175580005600,thyme-csi,Pride1_Sense6
STOP,ComputeCosine,Pride1_Sense6,739175580242700,thyme-csi,Pride1_Sense6
QUEUE,Tokenize1,Pride2,739175581127400,thyme-csi,Pride2_Sense1
QUEUE,Tokenize2,Sense1,739175581134700,thyme-csi,Pride2_Sense1
START,Tokenize1,Pride2,739175581466100,thyme-csi,Pride2_Sense1
START,Tokenize2,Sense1,739175581480900,thyme-csi,Pride2_Sense1
STOP,Tokenize2,Sense1,739175582353400,thyme-csi,Pride2_Sense1
