type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,81871085024900,zsolts,Pride1_Sense1
QUEUE,Tokenize2,Sense1,81871085024900,zsolts,Pride1_Sense1
START,Tokenize1,Pride1,81871085082600,zsolts,Pride1_Sense1
START,Tokenize2,Sense1,81871085133900,zsolts,Pride1_Sense1
STOP,Tokenize2,Sense1,81871151558300,zsolts,Pride1_Sense1
QUEUE,Collect2,Sense1,81871153587100,zsolts,Pride1_Sense1
START,Collect2,Sense1,81871153635700,zsolts,Pride1_Sense1
STOP,Tokenize1,Pride1,81871154417300,zsolts,Pride1_Sense1
QUEUE,Collect1,Pride1,81871154621900,zsolts,Pride1_Sense1
START,Collect1,Pride1,81871154755300,zsolts,Pride1_Sense1
STOP,Collect2,Sense1,81871162205000,zsolts,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,81871163482300,zsolts,Pride1_Sense1
START,ComputeScalar3,Sense1,81871163678500,zsolts,Pride1_Sense1
STOP,Collect1,Pride1,81871167110800,zsolts,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,81871167201100,zsolts,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,81871167228400,zsolts,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,81871167405200,zsolts,Pride1_Sense1
START,ComputeScalar1,Pride1,81871167506900,zsolts,Pride1_Sense1
STOP,ComputeScalar3,Sense1,81871168287500,zsolts,Pride1_Sense1
STOP,ComputeScalar1,Pride1,81871170377500,zsolts,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,81871172257300,zsolts,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,81871172338900,zsolts,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,81871172449700,zsolts,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,81871172584500,zsolts,Pride1_Sense1
QUEUE,Tokenize1,Pride1,81871173563700,zsolts,Pride1_Sense2
START,Tokenize1,Pride1,81871173629400,zsolts,Pride1_Sense2
QUEUE,Tokenize2,Sense2,81871173676800,zsolts,Pride1_Sense2
START,Tokenize2,Sense2,81871173715300,zsolts,Pride1_Sense2
STOP,Tokenize1,Pride1,81871180528300,zsolts,Pride1_Sense2
QUEUE,Collect1,Pride1,81871180639000,zsolts,Pride1_Sense2
START,Collect1,Pride1,81871180702800,zsolts,Pride1_Sense2
STOP,Tokenize2,Sense2,81871182473100,zsolts,Pride1_Sense2
QUEUE,Collect2,Sense2,81871182548000,zsolts,Pride1_Sense2
START,Collect2,Sense2,81871182601500,zsolts,Pride1_Sense2
STOP,Collect1,Pride1,81871183092700,zsolts,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,81871183154300,zsolts,Pride1_Sense2
START,ComputeScalar1,Pride1,81871183185900,zsolts,Pride1_Sense2
STOP,ComputeScalar1,Pride1,81871186138900,zsolts,Pride1_Sense2
STOP,Collect2,Sense2,81871188509300,zsolts,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,81871188603100,zsolts,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,81871188611300,zsolts,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,81871188653900,zsolts,Pride1_Sense2
START,ComputeScalar3,Sense2,81871188699100,zsolts,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,81871193178200,zsolts,Pride1_Sense2
STOP,ComputeScalar3,Sense2,81871194272100,zsolts,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,81871194344600,zsolts,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,81871194394200,zsolts,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,81871194415600,zsolts,Pride1_Sense2
QUEUE,Tokenize1,Pride1,81871195387300,zsolts,Pride1_Sense3
START,Tokenize1,Pride1,81871195441400,zsolts,Pride1_Sense3
QUEUE,Tokenize2,Sense3,81871195540500,zsolts,Pride1_Sense3
START,Tokenize2,Sense3,81871195571900,zsolts,Pride1_Sense3
STOP,Tokenize1,Pride1,81871202533500,zsolts,Pride1_Sense3
QUEUE,Collect1,Pride1,81871202641000,zsolts,Pride1_Sense3
START,Collect1,Pride1,81871202664800,zsolts,Pride1_Sense3
STOP,Collect1,Pride1,81871205101200,zsolts,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,81871205225600,zsolts,Pride1_Sense3
START,ComputeScalar1,Pride1,81871205275100,zsolts,Pride1_Sense3
STOP,ComputeScalar1,Pride1,81871206743300,zsolts,Pride1_Sense3
STOP,Tokenize2,Sense3,81871207644900,zsolts,Pride1_Sense3
QUEUE,Collect2,Sense3,81871207705800,zsolts,Pride1_Sense3
START,Collect2,Sense3,81871207734900,zsolts,Pride1_Sense3
STOP,Collect2,Sense3,81871216250600,zsolts,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,81871216373900,zsolts,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,81871216375500,zsolts,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,81871216404600,zsolts,Pride1_Sense3
START,ComputeScalar3,Sense3,81871216457900,zsolts,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,81871218910700,zsolts,Pride1_Sense3
STOP,ComputeScalar3,Sense3,81871221276100,zsolts,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,81871221326300,zsolts,Pride1_Sense3
