type,name,input_id,time,team,meas_id
START,Tokenize2,Sense1,14608402936166,tajtekzo-autizmus,Pride3_Sense1
START,Tokenize1,Pride3,14608402536505,tajtekzo-autizmus,Pride3_Sense1
QUEUE,Tokenize2,Sense1,14608503002284,tajtekzo-autizmus,Pride3_Sense1
STOP,Tokenize2,Sense1,14608505033472,tajtekzo-autizmus,Pride3_Sense1
START,Collect2,Sense1,14608505131796,tajtekzo-autizmus,Pride3_Sense1
START,Tokenize2,Sense3,14608506272049,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Collect2,Sense1,14608508616816,tajtekzo-autizmus,Pride3_Sense1
QUEUE,Tokenize1,Pride3,14608516286659,tajtekzo-autizmus,Pride3_Sense1
STOP,Tokenize1,Pride3,14608516837765,tajtekzo-autizmus,Pride3_Sense1
START,Collect1,Pride3,14608516885224,tajtekzo-autizmus,Pride3_Sense1
START,Tokenize1,Pride3,14608517042860,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Collect1,Pride3,14608520768501,tajtekzo-autizmus,Pride3_Sense1
QUEUE,Tokenize2,Sense3,14608525593609,tajtekzo-autizmus,Pride3_Sense3
STOP,Tokenize2,Sense3,14608525954497,tajtekzo-autizmus,Pride3_Sense3
START,Tokenize2,Sense6,14608527127902,tajtekzo-autizmus,Pride3_Sense6
QUEUE,Tokenize1,Pride3,14608538375950,tajtekzo-autizmus,Pride3_Sense3
STOP,Tokenize1,Pride3,14608539330604,tajtekzo-autizmus,Pride3_Sense3
START,Tokenize1,Pride3,14608539448626,tajtekzo-autizmus,Pride3_Sense6
QUEUE,Tokenize1,Pride3,14608603889746,tajtekzo-autizmus,Pride3_Sense6
STOP,Tokenize1,Pride3,14608604397961,tajtekzo-autizmus,Pride3_Sense6
START,Tokenize1,Pride3,14608604474355,tajtekzo-autizmus,Pride3_Sense5
QUEUE,Tokenize1,Pride3,14608617923339,tajtekzo-autizmus,Pride3_Sense5
STOP,Tokenize1,Pride3,14608618446101,tajtekzo-autizmus,Pride3_Sense5
START,Tokenize1,Pride3,14608618578781,tajtekzo-autizmus,Pride3_Sense4
QUEUE,Tokenize1,Pride3,14608656710059,tajtekzo-autizmus,Pride3_Sense4
STOP,Tokenize1,Pride3,14608657110892,tajtekzo-autizmus,Pride3_Sense4
START,Tokenize1,Pride3,14608657234314,tajtekzo-autizmus,Pride3_Sense2
QUEUE,Tokenize1,Pride3,14608671611742,tajtekzo-autizmus,Pride3_Sense2
STOP,Tokenize1,Pride3,14608671897980,tajtekzo-autizmus,Pride3_Sense2
START,Tokenize1,Pride6,14608671997728,tajtekzo-autizmus,Pride6_Sense1
QUEUE,Tokenize2,Sense6,14608712931392,tajtekzo-autizmus,Pride3_Sense6
STOP,Tokenize2,Sense6,14608714108585,tajtekzo-autizmus,Pride3_Sense6
START,Tokenize2,Sense5,14608714258416,tajtekzo-autizmus,Pride3_Sense5
STOP,Collect2,Sense1,14608724231117,tajtekzo-autizmus,Pride3_Sense1
START,Collect2,Sense3,14608725656025,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Collect2,Sense3,14608728158287,tajtekzo-autizmus,Pride3_Sense3
START,ComputeScalar3,Sense1,14608724307611,tajtekzo-autizmus,Pride3_Sense1
QUEUE,ComputeScalar3,Sense1,14608731251460,tajtekzo-autizmus,Pride3_Sense1
STOP,ComputeScalar3,Sense1,14608734698388,tajtekzo-autizmus,Pride3_Sense1
START,ComputeScalar1,Pride3,14608777939679,tajtekzo-autizmus,Pride3_Sense1
QUEUE,ComputeScalar1,Pride3,14608786037857,tajtekzo-autizmus,Pride3_Sense1
STOP,ComputeScalar1,Pride3,14608788006938,tajtekzo-autizmus,Pride3_Sense1
START,ComputeCosine,Pride3_Sense1,14608788130780,tajtekzo-autizmus,Pride3_Sense1
STOP,Collect1,Pride3,14608792584029,tajtekzo-autizmus,Pride3_Sense1
START,Collect1,Pride3,14608792825793,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Collect1,Pride3,14608801505705,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Tokenize2,Sense5,14608800662070,tajtekzo-autizmus,Pride3_Sense5
STOP,Tokenize2,Sense5,14608802139296,tajtekzo-autizmus,Pride3_Sense5
START,Tokenize2,Sense4,14608802244143,tajtekzo-autizmus,Pride3_Sense4
QUEUE,Tokenize1,Pride6,14608881705290,tajtekzo-autizmus,Pride6_Sense1
STOP,Tokenize1,Pride6,14608881957043,tajtekzo-autizmus,Pride6_Sense1
START,Tokenize1,Pride6,14608882063162,tajtekzo-autizmus,Pride6_Sense3
QUEUE,Tokenize2,Sense4,14608888064580,tajtekzo-autizmus,Pride3_Sense4
START,ComputeScalar3,Sense3,14608888225643,tajtekzo-autizmus,Pride3_Sense3
STOP,Collect2,Sense3,14608888173134,tajtekzo-autizmus,Pride3_Sense3
START,Collect2,Sense6,14608888790073,tajtekzo-autizmus,Pride3_Sense6
STOP,Tokenize2,Sense4,14608890086119,tajtekzo-autizmus,Pride3_Sense4
START,Tokenize2,Sense2,14608890532458,tajtekzo-autizmus,Pride3_Sense2
QUEUE,ComputeScalar3,Sense3,14608896986316,tajtekzo-autizmus,Pride3_Sense3
STOP,ComputeScalar3,Sense3,14608897724473,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Tokenize2,Sense2,14608898467900,tajtekzo-autizmus,Pride3_Sense2
STOP,Tokenize2,Sense2,14608898999730,tajtekzo-autizmus,Pride3_Sense2
START,Tokenize2,Sense1,14608899079370,tajtekzo-autizmus,Pride6_Sense1
QUEUE,Tokenize2,Sense1,14608901785234,tajtekzo-autizmus,Pride6_Sense1
STOP,Tokenize2,Sense1,14608902060201,tajtekzo-autizmus,Pride6_Sense1
START,Tokenize2,Sense3,14608902191718,tajtekzo-autizmus,Pride6_Sense3
QUEUE,Tokenize2,Sense3,14608914523663,tajtekzo-autizmus,Pride6_Sense3
STOP,Tokenize2,Sense3,14608915098033,tajtekzo-autizmus,Pride6_Sense3
START,Tokenize2,Sense6,14608915330389,tajtekzo-autizmus,Pride6_Sense6
START,ComputeScalar1,Pride3,14608926418156,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Collect2,Sense6,14608927094166,tajtekzo-autizmus,Pride3_Sense6
QUEUE,ComputeScalar1,Pride3,14608935220688,tajtekzo-autizmus,Pride3_Sense3
STOP,ComputeScalar1,Pride3,14608935937866,tajtekzo-autizmus,Pride3_Sense3
START,ComputeScalar2,Pride3_Sense1,14608792671654,tajtekzo-autizmus,Pride3_Sense1
QUEUE,ComputeScalar2,Pride3_Sense1,14608944702817,tajtekzo-autizmus,Pride3_Sense1
STOP,ComputeScalar2,Pride3_Sense1,14608947760043,tajtekzo-autizmus,Pride3_Sense1
QUEUE,ComputeCosine,Pride3_Sense1,14608949940140,tajtekzo-autizmus,Pride3_Sense1
STOP,ComputeCosine,Pride3_Sense1,14608951955457,tajtekzo-autizmus,Pride3_Sense1
START,ComputeCosine,Pride3_Sense3,14608953536478,tajtekzo-autizmus,Pride3_Sense3
STOP,Collect1,Pride3,14609046577665,tajtekzo-autizmus,Pride3_Sense3
START,ComputeScalar2,Pride3_Sense3,14609046627168,tajtekzo-autizmus,Pride3_Sense3
START,Collect1,Pride3,14609049156100,tajtekzo-autizmus,Pride3_Sense6
QUEUE,Collect1,Pride3,14609051775553,tajtekzo-autizmus,Pride3_Sense6
QUEUE,ComputeScalar2,Pride3_Sense3,14609051796933,tajtekzo-autizmus,Pride3_Sense3
QUEUE,ComputeCosine,Pride3_Sense3,14609052113718,tajtekzo-autizmus,Pride3_Sense3
STOP,ComputeCosine,Pride3_Sense3,14609052189381,tajtekzo-autizmus,Pride3_Sense3
STOP,ComputeScalar2,Pride3_Sense3,14609052233804,tajtekzo-autizmus,Pride3_Sense3
QUEUE,Tokenize1,Pride6,14609052987661,tajtekzo-autizmus,Pride6_Sense3
STOP,Tokenize1,Pride6,14609053127403,tajtekzo-autizmus,Pride6_Sense3
START,Tokenize1,Pride6,14609053216140,tajtekzo-autizmus,Pride6_Sense6
QUEUE,Tokenize2,Sense6,14609063467274,tajtekzo-autizmus,Pride6_Sense6
STOP,Tokenize2,Sense6,14609063808446,tajtekzo-autizmus,Pride6_Sense6
START,Tokenize2,Sense5,14609063904777,tajtekzo-autizmus,Pride6_Sense5
START,ComputeScalar1,Pride3,14609083265179,tajtekzo-autizmus,Pride3_Sense6
QUEUE,ComputeScalar1,Pride3,14609093125930,tajtekzo-autizmus,Pride3_Sense6
START,ComputeCosine,Pride3_Sense6,14609093649234,tajtekzo-autizmus,Pride3_Sense6
STOP,ComputeScalar1,Pride3,14609093788205,tajtekzo-autizmus,Pride3_Sense6
STOP,Collect1,Pride3,14609184198448,tajtekzo-autizmus,Pride3_Sense6
START,Collect1,Pride3,14609184669533,tajtekzo-autizmus,Pride3_Sense5
QUEUE,Collect1,Pride3,14609187139505,tajtekzo-autizmus,Pride3_Sense5
QUEUE,Tokenize2,Sense5,14609187295237,tajtekzo-autizmus,Pride6_Sense5
STOP,Tokenize2,Sense5,14609187523366,tajtekzo-autizmus,Pride6_Sense5
START,Tokenize2,Sense4,14609187744842,tajtekzo-autizmus,Pride6_Sense4
START,ComputeScalar1,Pride3,14609205663806,tajtekzo-autizmus,Pride3_Sense5
